Cod_Cliente,Max_Valor,Mediana_Valor,Media_Valor,Std_Valor,Num_Transacciones,Ocurrencias_Madrugada,Ocurrencias_Mañana,Ocurrencias_Tarde,Ocurrencias_Noche,Ocurrencias_PAGO TARJETA DE CREDITO,Ocurrencias_TRANSFER BANCOS,Ocurrencias_TRANSFER EXTERNAS,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes,Ocurrencias_Mitad_Mes,Ocurrencias_Principio_Mes,Hora_Mas_Frecuente,Transaccion_Mas_Frecuente,Dia_Mas_Frecuente
1598703,1700.0,300.0,275.0,333.2416540590326,26,0,8,14,4,0,26,0,0,3,7,16,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598705,2300.0,200.0,435.81602564102565,503.0669848256018,156,0,127,27,2,26,83,29,18,61,31,64,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598712,1169.0,110.0,214.49473118279568,231.41507615759346,93,0,56,33,4,0,93,0,0,24,28,41,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598767,1000.0,30.0,83.23689655172414,122.97685262387368,145,0,65,80,0,0,45,0,100,34,44,67,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Principio_Mes
1598772,1000.0,100.0,165.50529999999998,203.67668627069747,100,0,54,46,0,12,36,44,8,34,36,30,Ocurrencias_Mañana,Ocurrencias_TRANSFER EXTERNAS,Ocurrencias_Mitad_Mes
1598774,600.0,131.0,187.52352380952382,165.6811654955486,105,0,54,51,0,15,78,0,12,30,33,42,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598775,50.0,10.25,13.001666666666669,11.630872063579309,42,0,3,20,19,0,0,0,42,20,12,10,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1598784,1200.0,82.0,191.2556338028169,265.1501689594699,71,0,25,46,0,21,48,0,2,19,23,29,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598786,600.0,216.0,234.73264150943396,136.86889187145124,53,0,15,21,17,13,14,8,18,5,24,24,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Mitad_Mes
1598790,1000.0,123.5,211.28333333333333,208.5374225629429,30,0,13,14,3,0,29,0,1,11,5,14,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598794,1500.0,270.0,318.48808219178085,281.1841072325387,73,0,26,33,14,18,40,0,15,15,15,43,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598796,1079.08,372.63,445.6119047619048,363.74281476437955,84,0,30,38,16,10,49,4,21,31,24,29,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1598801,3000.0,500.0,830.5,990.5207296111848,20,0,12,8,0,1,19,0,0,7,8,5,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1598804,1470.0,100.0,226.5353846153846,290.8020596610295,78,0,35,27,16,11,51,2,14,21,20,37,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598825,1000.0,10.0,75.13524390243903,182.45349845733978,82,0,23,53,6,0,17,0,65,28,32,22,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Mitad_Mes
1598896,3000.0,230.0,280.8373992673993,257.77851330172876,273,0,85,188,0,0,68,0,205,94,136,43,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Mitad_Mes
1598903,3500.0,800.0,915.5555555555555,722.5211591343367,36,0,22,14,0,19,16,0,1,13,6,17,Ocurrencias_Mañana,Ocurrencias_PAGO TARJETA DE CREDITO,Ocurrencias_Principio_Mes
1598905,2060.0,200.0,311.20541484716153,331.3477493264573,229,0,83,96,50,30,161,0,38,70,67,92,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598908,32.0,5.0,9.66474358974359,9.160359648749546,78,0,15,61,2,0,0,0,78,42,19,17,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1598909,970.0,175.0,217.16129032258064,176.75446185300737,31,0,18,9,4,11,20,0,0,6,6,19,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598914,8500.0,260.0,541.4408484848485,939.9784516162772,165,0,58,74,33,37,99,17,12,41,62,62,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1598917,380.33,105.0,112.9121052631579,72.43471471139812,19,0,9,7,3,0,16,0,3,14,3,2,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1598918,10000.0,140.0,621.5590566037736,1926.2240174908807,53,0,32,21,0,6,44,0,3,28,11,14,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1598921,400.0,55.0,96.5862,89.29674297348963,50,0,22,25,3,0,50,0,0,15,10,25,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598930,330.0,50.0,90.4780487804878,89.96308421290125,41,0,21,14,6,0,29,0,12,12,16,13,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1598933,2000.0,250.0,348.24380281690145,346.75693520870203,71,1,27,26,17,7,63,1,0,18,30,23,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1598939,1500.0,200.0,323.48682352941177,364.33981521118886,85,0,46,25,14,0,85,0,0,23,20,42,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598940,1007.5,70.0,143.58888059701493,188.29020791049683,134,0,46,79,9,0,41,58,35,47,48,39,Ocurrencias_Tarde,Ocurrencias_TRANSFER EXTERNAS,Ocurrencias_Mitad_Mes
1598949,300.0,200.0,187.5,60.42611843792123,20,2,6,6,6,0,20,0,0,4,11,5,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1598954,100.0,20.0,27.946417910447764,24.323273098967313,67,0,30,37,0,0,0,0,67,45,18,4,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1598957,2100.0,200.0,310.4389552238806,415.92242727764545,67,0,33,33,1,8,25,0,34,19,23,25,Ocurrencias_Mañana,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Principio_Mes
1598959,1000.0,150.0,170.23663366336635,188.61471676556536,101,0,44,46,11,28,59,0,14,28,35,38,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598960,793.68,79.76,151.9776691729323,176.71284685548054,133,0,58,60,15,32,54,0,47,35,51,47,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1598962,280.0,25.0,40.10631578947368,50.31013355424148,76,0,39,33,4,0,28,0,48,28,21,27,Ocurrencias_Mañana,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1598965,3000.0,211.10500000000002,374.7259090909091,491.85470783079296,66,0,47,17,2,0,49,17,0,27,27,12,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1598966,1500.0,168.0,231.47733333333335,246.76896383037857,165,0,47,90,28,16,78,0,71,33,39,93,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598970,400.0,14.504999999999999,65.55766666666666,91.02693869039337,60,0,18,40,2,3,19,0,38,29,23,8,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1598976,1412.0,45.0,128.28571428571428,267.59762595731195,28,0,17,11,0,0,28,0,0,0,10,18,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598981,320.0,12.5,72.83907407407408,116.50070227772001,54,0,23,31,0,0,15,0,39,27,25,2,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1598983,615.0,250.0,215.89406779661016,151.7465824317617,59,0,29,24,6,33,26,0,0,9,21,29,Ocurrencias_Mañana,Ocurrencias_PAGO TARJETA DE CREDITO,Ocurrencias_Principio_Mes
1598984,400.0,30.0,73.5811009174312,103.28392833582804,109,0,49,52,8,4,16,8,81,33,42,34,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Mitad_Mes
1598985,100.0,20.0,33.421052631578945,27.066340464019543,95,0,34,61,0,0,0,0,95,36,29,30,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1598989,1000.0,100.0,191.96144927536233,220.76409224364735,138,0,72,52,14,0,45,30,63,47,35,56,Ocurrencias_Mañana,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Principio_Mes
1598992,2000.0,583.3299999999999,833.2827272727274,633.4270229938683,22,0,9,13,0,3,19,0,0,6,11,5,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1598993,850.0,80.0,201.22869047619048,218.55868421376542,84,0,43,27,14,0,42,0,42,34,10,40,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1598998,860.0,80.0,217.76793103448279,269.17994900357365,29,0,10,14,5,0,29,0,0,10,12,7,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599004,1257.0,185.0,252.62921348314606,246.92335864791175,89,0,37,48,4,0,62,14,13,37,19,33,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599005,120.0,10.0,18.185087719298245,26.89574110754918,57,0,23,34,0,0,0,0,57,28,25,4,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1599008,3500.0,100.0,329.44086021505376,652.3466413542791,93,4,40,26,23,0,18,36,39,39,37,17,Ocurrencias_Mañana,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1599018,1000.0,215.0,305.8025925925926,265.932323007082,27,0,13,11,3,0,24,0,3,18,5,4,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599019,240.0,31.0,44.21985507246377,44.23670636117216,69,0,10,54,5,0,14,0,55,38,23,8,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1599020,500.0,40.0,136.92739130434782,176.91590550359825,23,0,3,20,0,0,21,0,2,4,17,2,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599031,32.82,6.5,10.676842105263157,9.204329327146715,19,0,4,13,2,0,0,0,19,10,0,9,Ocurrencias_Tarde,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Final_Mes
1599032,900.0,90.0,166.73595744680853,182.55734488874106,141,0,85,37,19,0,64,28,49,48,47,46,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599033,5032.0,129.0,398.4810714285714,821.398419284114,140,0,57,54,29,0,80,2,58,42,51,47,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599038,830.0,209.81,235.3362765957447,170.48960216763226,94,0,65,20,9,44,50,0,0,28,17,49,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599039,2000.0,110.41499999999999,177.44142857142856,304.0387214072947,42,0,17,25,0,10,28,0,4,23,3,16,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599042,334.0,53.5,76.44884615384616,81.65238338449174,52,0,27,21,4,11,20,0,21,17,10,25,Ocurrencias_Mañana,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Principio_Mes
1599045,3680.2,94.95,415.81382352941176,751.48590129324,34,0,12,19,3,0,24,0,10,13,14,7,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Mitad_Mes
1599048,400.0,80.0,119.13728813559322,101.60250454811647,59,0,29,30,0,0,49,0,10,16,15,28,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599051,600.0,400.0,426.07142857142856,174.97807874796214,28,0,3,10,15,13,0,0,15,7,8,13,Ocurrencias_Noche,Ocurrencias_TRANSFER INTERNAS,Ocurrencias_Principio_Mes
1599054,1000.0,100.0,142.7770731707317,156.37585491755777,164,0,72,85,7,26,89,0,49,58,55,51,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599057,1000.0,143.0,205.82444444444442,215.21404750459632,99,0,25,44,30,0,55,0,44,31,16,52,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599060,1000.0,200.0,288.42264150943396,278.5731456986239,53,0,27,26,0,0,53,0,0,21,15,17,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599065,300.0,80.0,92.2,69.09916596343334,20,0,8,8,4,0,11,0,9,1,8,11,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599067,800.0,63.0,124.32886956521739,164.88415466392524,115,0,58,54,3,15,57,0,43,46,42,27,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599069,784.0,85.0,137.6382795698925,167.87015664691603,93,20,48,21,4,34,59,0,0,24,23,46,Ocurrencias_Mañana,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
1599071,3900.0,150.0,429.9368131868132,655.7819859643042,91,0,22,58,11,19,50,0,22,34,34,23,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Final_Mes
1599074,1672.8,200.0,269.66238095238094,360.3810600841331,42,0,14,23,5,5,37,0,0,10,9,23,Ocurrencias_Tarde,Ocurrencias_TRANSFER BANCOS,Ocurrencias_Principio_Mes
