Cod_Cliente,min,max
1598703,50.0,1700.0
1598705,2.5,2300.0
1598712,5.0,1169.0
1598767,1.5,1000.0
1598772,7.0,1000.0
1598774,3.0,600.0
1598775,1.0,50.0
1598784,2.0,1200.0
1598786,20.0,600.0
1598790,10.0,1000.0
1598794,20.0,1500.0
1598796,5.0,1079.08
1598801,50.0,3000.0
1598804,4.0,1470.0
1598825,1.0,1000.0
1598896,22.5,3000.0
1598903,20.0,3500.0
1598905,2.0,2060.0
1598908,1.0,32.0
1598909,10.0,970.0
1598914,10.0,8500.0
1598917,15.0,380.33
1598918,1.0,10000.0
1598921,10.0,400.0
1598930,5.5,330.0
1598933,30.0,2000.0
1598939,10.0,1500.0
1598940,1.0,1007.5
1598949,100.0,300.0
1598954,1.0,100.0
1598957,2.0,2100.0
1598959,2.0,1000.0
1598960,1.5,793.68
1598962,2.0,280.0
1598965,2.97,3000.0
1598966,2.0,1500.0
1598970,1.0,400.0
1598976,7.5,1412.0
1598981,1.0,320.0
1598983,14.97,615.0
1598984,1.0,400.0
1598985,5.0,100.0
1598989,2.3,1000.0
1598992,147.84,2000.0
1598993,1.0,850.0
1598998,1.0,860.0
1599004,5.0,1257.0
1599005,1.0,120.0
1599008,15.0,3500.0
1599018,8.0,1000.0
1599019,1.0,240.0
1599020,1.14,500.0
1599031,1.0,32.82
1599032,2.0,900.0
1599033,1.24,5032.0
1599038,2.5,830.0
1599039,4.0,2000.0
1599042,1.0,334.0
1599045,3.75,3680.2
1599048,10.0,400.0
1599051,100.0,600.0
1599054,4.4,1000.0
1599057,5.0,1000.0
1599060,20.0,1000.0
1599065,10.0,300.0
1599067,1.0,800.0
1599069,9.0,784.0
1599071,1.0,3900.0
1599074,15.0,1672.8
1599075,13.05,1156.35
1599080,10.0,4536.0
1599081,35.0,1000.0
1599082,3.36,350.0
1599090,20.0,2337.0
1599095,10.0,408.0
1599096,18.73,340.0
1599097,1.0,2188.44
1599098,25.0,540.0
1599100,1.0,930.0
1599105,1.5,500.0
1599107,13.0,500.0
1599109,20.0,336.0
1599111,5.0,800.0
1599112,1.0,466.53
1599113,1.5,730.0
1599114,3.0,1000.0
1599120,120.0,2000.0
1599123,20.0,2600.0
1599124,12.0,3000.0
1599126,3.0,740.0
1599135,2.0,300.0
1599141,15.0,4000.0
1599142,130.0,1100.0
1599146,5.0,390.0
1599149,30.0,1500.0
1599151,15.0,2145.0
1599153,3.0,5000.0
1599155,5.0,2000.0
1599159,40.0,4000.0
1599161,1.0,450.0
1599162,20.0,1100.0
1599163,45.0,500.0
1599166,5.0,1036.0
1599167,20.0,1708.0
1599168,5.0,1000.0
1599170,1.0,1880.0
1599171,40.0,1900.0
1599174,1.0,607.78
1599177,1.5,281.0
1599185,20.0,740.0
1599186,1.0,1000.0
1599187,6.0,575.0
1599189,2.0,1000.0
1599193,15.0,4000.0
1599196,60.0,2000.0
1599200,7.0,315.0
1599201,1.0,200.0
1599202,20.0,3000.0
1599203,38.0,2000.0
1599206,10.0,500.0
1599207,1.0,1200.0
1599208,5.0,1010.0
1599209,6.0,2000.0
1599210,25.0,4000.0
1599212,2.0,1000.0
1599214,2.0,1500.0
1599217,25.0,4000.0
1599219,15.0,902.0
1599222,1.45,1200.0
1599223,4.99,1000.0
1599224,10.0,930.0
1599227,20.0,720.5
1599228,10.0,510.0
1599234,10.0,1000.0
1599239,50.0,3000.0
1599241,2.0,860.0
1599244,3.95,1319.22
1599246,1.5,150.0
1599247,1.0,861.0
1599249,9.8,500.0
1599257,5.0,2000.0
1599262,20.0,1500.0
1599270,20.0,3000.0
1599272,3.75,388.0
1599273,2.0,2200.0
1599288,1.0,603.82
1599290,20.0,800.0
1599292,4.0,1800.0
1599295,16.4,1345.0
1599296,2.5,5000.0
1599298,1.0,500.0
1599304,3.0,1500.0
1599305,1.0,769.0
1599306,5.15,2000.0
1599312,1.0,1000.0
1599316,14.05,800.0
1599318,16.76,1000.0
